項次,事業單位或事業主之名稱、負責人姓名,違反法令條款,違反法規內容,處分書文號,處分日期,備註
5,誼光保全股份有限公司,勞基法第21條第1項,未達基本工資,府勞動字第1020368994號,102年10月25日
5,誼光保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1020368994號,102年10月25日
5,誼光保全股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第1020368994號,102年10月25日
10,歐迪烘培坊,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1020405932號,103年1月3日
10,歐迪烘培坊,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1020405932號,103年1月3日
11,芙洛麗精品飯店股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第1030047777號,103年1月9日
11,芙洛麗精品飯店股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第1030047777號,103年1月9日
12,昌隆加油站有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1030047362號,103年1月14日
12,昌隆加油站有限公司,勞基法第30條第1項,正常工作時間超過法令規定,府勞動字第1030047362號,103年1月14日
12,昌隆加油站有限公司,勞基法第35條,繼續工作四小時未有三十分鐘休息,府勞動字第1030047362號,103年1月14日
12,昌隆加油站有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1030047362號,103年1月14日
13,佳隆加油站有限公司,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1030048278號,103年1月14日
13,佳隆加油站有限公司,勞基法第30條第1項,正常工作時間超過法令規定,府勞動字第1030048278號,103年1月14日
13,佳隆加油站有限公司,勞基法第35條,繼續工作四小時未有三十分鐘休息,府勞動字第1030048278號,103年1月14日
