項次,事業單位或事業主之名稱、負責人姓名,違反法令條款,違反法規內容,處分書文號,處分日期,備註
14,財團法人馬階紀念醫院新竹分院,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1030087847號,103年4月3日
14,財團法人馬階紀念醫院新竹分院,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第1030087847號,103年4月3日
14,財團法人馬階紀念醫院新竹分院,勞基法第35條,繼續工作四小時未有三十分鐘休息,府勞動字第1030087847號,103年4月3日
15,新中興醫院,勞基法第32條第1項,延長工作時間不符法定要件,府勞動字第1030092399號,103年4月10日,103年度醫療院所勞動條件專案檢查
15,新中興醫院,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1030092399號,103年4月10日,103年度醫療院所勞動條件專案檢查
16,財團法人馬階紀念醫院新竹分院,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1030092428號,103年4月11日,103年度醫療院所勞動條件專案檢查
16,財團法人馬階紀念醫院新竹分院,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字第1030092428號,103年4月11日,103年度醫療院所勞動條件專案檢查
16,財團法人馬階紀念醫院新竹分院,勞基法第36條,每七日中未有一日之休息作為例假,府勞動字第1030092428號,103年4月11日,103年度醫療院所勞動條件專案檢查
16,財團法人馬階紀念醫院新竹分院,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,府勞動字第1030092428號,103年4月11日,103年度醫療院所勞動條件專案檢查
17,國軍新竹地區醫院附設民眾診療服務處,勞基法第24條,延長工作時間未依規定加給工資,府勞動字第1030094090號,103年4月15日,103年度醫療院所勞動條件專案檢查
17,國軍新竹地區醫院附設民眾診療服務處,勞基法第32條第1項,延長工作時間不符法定要件,府勞動字第1030094090號,103年4月15日,103年度醫療院所勞動條件專案檢查
17,國軍新竹地區醫院附設民眾診療服務處,勞基法第39條,延長工作時間不符法定要件,府勞動字第1030094090號,103年4月15日,103年度醫療院所勞動條件專案檢查
