公告日期,處分日期,處分字號,事業單位名稱／自然人姓名,負責人,違反職業安全衛生法條款,違反法規內容,備註
105/04/19,105/02/15,北市勞職字第10439391306號,啟鈺工程有限公司,李榮爵,職業安全衛生法第37條第2項第2款,對於工作場所暴露之鋼筋，未採取彎曲尖端、加蓋或加裝護套等防護設施，致所僱勞工發生墜落致死職業災害。,重大職災
105/04/19,104/07/22,府勞職字第10434713900號,大藝廣告工程行,陳俊樺,職業安全衛生設施規則第225條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之處所進行作業，勞工有墜落之虞者，未以架設施工架或其他方法設置工作台。,訴願駁回
105/04/19,104/09/07,府勞職字第10436981104號,鄭坤明,鄭坤明,1.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。;2.營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項第1、3、5款。,1.對於高度2公尺以上之開口部分作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。;2.對於進入營繕工程工作場所作業人員，未提供合格之安全帽，並使其正確戴用。,訴願駁回
105/04/19,104/11/03,府勞職字10438067900號,勝堡村營造工程股份有限公司,王為訓,1.職業安全衛生法第27條第1項第1、2、3款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。;3.營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項第1、3、5款。;4.營造安全衛生設施標準第11條第4款暨職業安全衛生法第6條第1項第1、3、5款。;5.職業安全衛生設施規則第241條暨職業安全衛生法第6條第1項第3款。,1.與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工於工地作業有頭顱受創等具有嚴重危害勞工及發生職業災害之虞之工作場所，未依規定將承攬人納入協議組織運作，未「確實巡視」並「指揮」命令停止該危險作業；亦未採積極具體作為「連繫」及要求承攬人依營造安全衛生設施標準第11條之1規定，使勞工確實戴用合格之安全帽。;2.對於高度2公尺以上之開口部分從事營建施工管理作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。;3.對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用。;4.對於工作場所人員及車輛機械出入口處，未設人員管制工作場所人員及車輛機械出入，且無人員防護具管制紀錄。;5.對於電氣機具之帶電部分，勞工於作業中或通行時，未設防止感電之護圍或絕緣被覆，有因接觸(含經由導電體而接觸者，以下同) 或接近致發生感電之虞。,勞動部105年3月4日勞動法訴字第1040029927號函-訴願駁回
105/04/19,104/11/04,府勞職字第10438076900號,全家園藝有限公司,劉忠信,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款,對勞工於高度2公尺以上之處所從事撿拾修剪樹枝作業，未使勞工確實使用安全帶、安全帽，使勞工有墜落之虞。,訴願不受理
105/04/19,105/02/01,北市勞職字第10533134000號,互助營造股份有限公司,林志聖,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事營建施工管理作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,
105/04/19,105/02/03,北市勞職字10531171400號,三盛營造股份有限公司,羅淑敏,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事營建施工管理作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。,
105/04/19,105/02/02,北市勞職字第10531171200號,大程營造有限公司,王得明,職業安全衛生法第27條第1項第1、2、3款,與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工於高度2公尺以上之7樓外牆施工架從事磁磚作業有墜落等具有嚴重危害勞工及發生職業災害之虞之磁磚工作場所，未「確實巡視」並「指揮」命令停止該危險作業；亦未採積極具體作為「連繫」及要求承攬人於高度2公尺以上之高處作業，使勞工確實使用安全帶、安全帽及其他必要之防護具，或採取安全網等措施。,
105/04/19,105/02/02,北市勞職字第10531171202號,廣積工程有限公司,張慶勇,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款,僱用勞工於高度2公尺以上之開口部分從事磁磚作業，勞工有墜落之虞，未使勞工確實使用安全帶、安全帽及其他必要之防護具。,
105/04/19,105/02/02,北市勞職字第10531172100號,春本營造工程有限公司,林貞,營造安全衛生設施標準第5條暨職業安全衛生法第6條第1項第7款,對於工作場所暴露之鋼筋、鐵件、鋁件及其他材料等易生職業災害者，未採取彎曲尖端、加蓋或加護套等防護設施。,
105/04/19,105/02/02,北市勞職字第10531172400號,瑞助營造股份有限公司,張正岳,1.職業安全衛生法第27條第1項第1、2、3款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工於高度2公尺以上之場所從事作業有墜落等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」並「指揮」命令停止該危險作業，亦未採積極具體作為「連繫」及要求承攬人於高度2公尺以上之高處作業使勞工確實使用安全帶及高度2公尺以上之開口處設置護欄、護蓋或安全網。;2.對於高度2公尺以上之開口部分從事營建施工管理作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,
105/04/19,105/02/02,北市勞職字第10531172402號,明峰開發工程有限公司,許明坤,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款,使勞工於高度2公尺以上之主場館屋頂從事施工架作業，未使勞工確實使用安全帶，使勞工有墜落之虞。,
105/04/19,105/02/02,北市勞職字第10531172404號,銘興工程行,張榮春,1.職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項第5款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.對勞工於高差超過1.5公尺以上之施工架場所作業時，未設置使勞工安全上下之設備。;2.於高度2公尺以上之開口部分從事作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,
105/04/19,105/02/02,北市勞職字第10531193500號,應州工程有限公司,張斯堯,職業安全衛生法第27條第1項第1、2、3款,與承攬人分別僱用勞工共同作業，未設置協議組織，對於承攬人所僱勞工於高度2公尺以上之場所作業有墜落等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」並「指揮」命令停止該危險作業，亦未採積極具體作為「連繫」及要求承攬人於高度2公尺以上之高處作業時，使勞工確實使用安全帶。,
105/04/19,105/02/02,北市勞職字第10531193502號,星彩實業有限公司,林賢,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款,使勞工於高度2公尺以上之場所作業，未使勞工確實使用安全帶，使勞工有墜落之虞。,
105/04/19,105/02/02,北市勞職字第10531193504號,築欣鷹架有限公司,王雀,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款,使勞工於高度2公尺以上之場所作業，未使勞工確實使用安全帶，使勞工有墜落之虞。,
105/04/19,105/02/01,北市勞職字第10531171900號,昌譽營造股份有限公司,林美惠,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事營建施工管理作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。,
105/04/19,105/02/01,北市勞職字第10531172300號,久舜營造股份有限公司,朱武宏,營造安全衛生設施標準第5條暨職業安全衛生法第6條第1項第7款,對於工作場所暴露之鋼筋，未採取彎曲尖端、加蓋或加裝護套等防護設施。,
105/04/19,105/02/01,北市勞職字第10531193300號,信嬅工程有限公司,柯水金,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款,僱用勞工於高度2公尺以上之施工架從事施工架架設作業，未使勞工確實使用安全帶，使勞工有墜落之虞。,
105/04/19,105/02/01,北市勞職字第10531173200號,合興建設股份有限公司,俞進華,1.職業安全衛生法第27條第1項第1、2、3款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.與承攬人分別僱用勞工共同作業，未設置協議組織，對於承攬人所僱勞工於高度2公尺以上之第1層安全支撐從事安全支撐組配作業有墜落等具有嚴重危害勞工及發生職業災害之虞之安全支撐工作場所，未依規定設置協議組織及「確實巡視」；亦未採積極具體作為「連繫」及要求承攬人於高度2公尺以上開口處設置護欄、護蓋或安全網。;2.對於高度2公尺以上之開口部分從事營建施工管理作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,
105/04/19,105/02/01,北市勞職字第10531173202號,久駿工程有限公司,鄧陳寶桂,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事安全支撐組配作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,
105/04/19,105/02/01,北市勞職字第10533139200號,長欣工程有限公司,林耀俊,起重升降機具安全規則第35條第2項第2款暨職業安全衛生法第6條第1項第5款,受裁處人對於使用移動式起重機乘載或吊升勞工從事作業，未使勞工佩戴安全帶或安全索。,
105/04/19,105/02/01,北市勞職字第10531152900號,台北市鍋爐壓力容器協會,康智惟,職業安全衛生教育訓練規則第25條第2項、第35條第8款暨職業安全衛生法第32條第2項,訓練單位未於訓練結束後10日內上傳訓練期滿證明或結業證書核發清冊至職業安全衛生教育訓練資訊管理系統。,
105/04/19,105/02/02,北市勞職字第10533160600號,昕禹實業有限公司,徐衍琦,營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項第1、3、5款,對於進入營繕工程工作場所作業人員，未提供適當安全帽並使勞工正確戴用。,
105/04/19,105/02/02,北市勞職字第10532004800號,都懋企業有限公司,連宏榮,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事建物拆除作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,
105/04/19,105/02/02,北市勞職字第10532003500號,盛德營造股份有限公司,葉正滉,職業安全衛生法第27條第1項第2、3款,與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工於高度2公尺以上之外牆施工架從事拆除作業有墜落等具有嚴重危害勞工及發生職業災害之虞之施工架工作場所，未「確實巡視」；亦未採積極具體作為「連繫」及要求承攬人於高度2公尺以上開口處設置護欄、護蓋或安全網。,
105/04/19,105/02/02,北市勞職字第10532003502號,一零一開發工程有限公司,余松光,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事施工架拆除作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,
105/04/19,105/02/02,北市勞職字第10533162700號,廣信工程有限公司,邱建誠,缺氧症預防規則第4條暨職業安全衛生法第6條第1項第7款,使勞工於有缺氧危險之場所作業，未設置功能正常可測定空氣中氧氣濃度之必要測定儀器，並採取隨時可確認空氣中氧氣濃度、硫化氫等其他有害氣體濃度之措施。,
105/04/19,105/02/02,北市勞職字第10532003100號,全久營造有限公司,許福祿,1.營造安全衛生設施標準第5條暨職業安全衛生法第6條第1項第7款。;2.職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項第5款。,1.對於工作場所暴露之鋼筋、鐵件、鋁件及其他材料等易生職業災害者，未採取彎曲尖端、加蓋或加護套等防護設施。;2.對勞工於高差超過1.5公尺以上之外牆施工架場所作業時，未設置使勞工安全上下之設備。,
105/04/19,105/02/02,北市勞職字第10532004500號,寬洋營造股份有限公司,蔡清銜,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,於高度2公尺以上之開口部分從事營建施工管理作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,
105/04/19,105/02/02,北市勞職字第10532004400號,互助營造股份有限公司,林志聖,職業安全衛生法第27條第1項第2、3款,與再承攬人分別僱用勞工共同作業，對再承攬人所僱勞工於工地從事作業有物體倒塌、崩塌等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」，亦未採積極具體作為「連繫」及要求再承攬人使勞工於有發生倒塌、崩塌之虞之構造物或其他物體之上方、內部或其周邊場所作業，有防止發生倒塌、崩塌之設施。,
105/04/19,105/02/02,北市勞職字第10532004402號,慶隆起重工程有限公司,鍾寶治,營造安全衛生設施標準第13條第1項第2款暨職業安全衛生法第6條第1項第5款,使勞工於有發生倒塌、崩塌之虞之鋼構吊裝作業，未有防止發生倒塌、崩塌之設施。,
105/04/19,105/02/04,北市勞職字第10533155500號,勝泉工程有限公司,楊寶珠,1.職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項第5款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.對於勞工於高差超過1.5公尺以上之場所作業時，未設置使勞工安全上下之設備。;2.對於高度2公尺以上之開口部分從事營建施工管理作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。,
105/04/19,105/02/04,北市勞職字第10531194100號,永興工程股份有限公司,楊家興,職業安全衛生法第27條第1項第2、3款,與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工於高度2公尺以上之外牆施工架從事施工架拆除作業有墜落等具有嚴重危害勞工及發生職業災害之虞之施工架工作場所，未「確實巡視」；亦未採積極具體作為「連繫」及要求承攬人於高度2公尺以上開口處設置護欄、護蓋或安全網，,
105/04/19,105/02/04,北市勞職字第10531194102號,柏凱工程有限公司,李祥正,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事營建施工管理作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。,
105/04/19,105/02/04,北市勞職字10532007800號,互助營造股份有限公司,林志聖,職業安全衛生法第27條第1項第1、2、3款,與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工於工地作業有頭顱受創等具有嚴重危害勞工及發生職業災害之虞之工作場所，未依規定設置協議組織，未「確實巡視」並「指揮」命令停止該危險作業；亦未採積極具體作為「連繫」及要求承攬人使勞工確實戴用合格之安全帽。,
